neutral hinglish sentence,context,social_context,Possible Slangs,Slang Location,Multiple positions allowed?,Control tokens,function,output sentence
Kya tumne naya gaana suna?,Music,Peer / Excited,Aag,START,No,[ASSERT_POSITIVE],slang_eval,"Aag hai naya gaana, suna kya tumne?"
Yeh idea kaam nahi karega.,Strategy,Peer / Skeptical,"Yaar, flop","START, MIDDLE",Yes,[ASSERT_NEGATIVE],filler + negative_eval,"Yaar yeh flop idea hai, kaam nahi karega."
Game mein meri team haar gayi.,Gaming,Peer / Frustrated,"Hug diya, bawa","MIDDLE, END",Yes,[ASSERT_NEGATIVE],idiom + informal_addr,Meri team ne game mein ekdum hug diya bawa.
Bahut dino baad baarish hui hai.,Nature,Friend / Happy,"Mausam, chaka-chak","START, END",Yes,[ASSERT_HAPPY],filler + positive_eval,"Mausam dekh, bahut dino baad baarish hui hai ekdum chaka-chak."
Woh hamesha bahane banata hai.,Behavior,Peer / Annoyed,Topibaaz,START,No,[ASSERT_NEGATIVE],descriptor,"Topibaaz hai woh, hamesha naye bahane banata hai."
Aaj workout bahut heavy tha.,Fitness,Peer / Tired,Tod-phod,MIDDLE,No,[ASSERT_POSITIVE],intensifier,Aaj gym mein ekdum tod-phod workout kiya.
Usne saara khana akele khatam kiya.,Food,Sibling / Surprised,"Bhai, pelna","START, MIDDLE",Yes,[ASSERT_SURPRISE],filler + intensifier,Bhai usne toh pura khana akele hi pel diya.
Usne saara kaam kharab kar diya.,Mistake,Peer / Angry,Raita,MIDDLE,No,[ASSERT_NEGATIVE],idiom,Usne achhe bhale project ka raita phaila diya.
Woh ladka bahut smart ban raha hai.,Conflict,Peer / Annoyed,Hero,END,No,[ASSERT_NEGATIVE],sarcasm,"Jyada hero mat ban, sab pata hai mujhe."
Match mein hum jeet gaye.,Sports,Friend / Excited,Pel diya,MIDDLE,No,[ASSERT_POSITIVE],idiom,Humne dusri team ko ekdum pel diya.
Bahut garmi ho rahi hai.,Weather,Peer / Tired,Kaatil,START,No,[ASSERT_NEGATIVE],intensifier,"Kaatil garmi hai aaj toh, bahar mat nikalna."
Usne mujhe ignore kar diya.,Social,Friend / Sad,Kaat diya,END,No,[ASSERT_NEGATIVE],idiom,Maine hello bola par usne mera kaat diya.
Yeh movie bahut achhi hai.,Entertainment,Peer / Happy,Bawaal,MIDDLE,No,[ASSERT_POSITIVE],positive_eval,"Yeh movie ekdum bawaal hai, zaroor dekhna."
"Police aa rahi hai, yahan se chalo.",Caution,Peer / Tense,Phut le,START,No,[ASSERT_WARNING],urgency_marker,"Phut le yahan se, police kabhi bhi aa sakti hai."
Usne bahut paisa kamaya hai.,Finance,Peer / Surprised,Chhaapa,MIDDLE,No,[ASSERT_SURPRISE],idiom,Usne naye business mein bahut paisa chhaapa hai.
Yeh music system bahut loud hai.,Party,Peer / Excited,"Faad, scene","MIDDLE, END",Yes,[ASSERT_POSITIVE],positive_eval + closure,"Yeh music system ekdum faad hai, pura scene tight hai."
Uska business band ho gaya.,Finance,Peer / Sad,"Yaar, dibba gol","START, MIDDLE",Yes,[ASSERT_NEGATIVE],filler + idiom,Yaar uska toh pura business hi dibba gol ho gaya.
Yeh toh bahut aasaan kaam hai.,Task,Peer / Confident,Halwa,END,No,[ASSERT_POSITIVE],positive_eval,"Tension mat le, yeh project toh ekdum halwa hai."
Doctor ne bahut saari dawaiyaan di hain.,Healthcare,Family / Tense,"Dher, scene","MIDDLE, END",Yes,[ASSERT_ANXIETY],intensifier + filler,Doctor ne dawaiyon ka dher laga diya hai pura scene kharab hai.
Woh ladki bahut fast typing karti hai.,Skill,Colleague / Respect,"Bawa, tezz-tarrar","START, MIDDLE",Yes,[ASSERT_POSITIVE],informal_addr + descriptor,Bawa woh toh bahut tezz-tarrar typing karti hai.
Usne sab kuch ugal diya.,Secret,Peer / Surprised,Totey,MIDDLE,No,[ASSERT_SURPRISE],metaphor,Police ke danda dikhate hi woh totey ki tarah bolne laga.
Yeh dress tum par achhi lag rahi hai.,Fashion,Peer / Happy,Zeher,END,No,[ASSERT_POSITIVE],positive_eval,"Kya lag rahi hai yaar, ekdum zeher!"
Aaj kal woh bahut gym ja raha hai.,Fitness,Friend / Amused,"Shauk, body-shody","START, MIDDLE",Yes,[ASSERT_NEUTRAL],filler + descriptor,"Shauk dekh rahe ho, aaj kal body-shody banane mein laga hai."
Aaj ka din bahut lamba tha.,Daily Life,Friend / Tired,Khich gaya,MIDDLE,No,[ASSERT_NEGATIVE],descriptor,Aaj ka din bahut zyada khich gaya office mein.
Usne mera mazaak udaya.,Social,Friend / Hurt,Roast,MIDDLE,No,[ASSERT_NEGATIVE],modern_slang,Usne sabke saamne mera roast kar diya.
Instagram par uski post viral ho gayi.,Social Media,Peer / Excited,Chha gaya,START,No,[ASSERT_HAPPY],affirmation,"Chha gaya bhai tu, post viral ho gayi hai."
Yeh movie bilkul samajh nahi aayi.,Entertainment,Peer / Confused,"Khichdi, scene","MIDDLE, END",Yes,[ASSERT_CONFUSION],metaphor + filler,Movie ka plot ekdum khichdi tha pura scene bounce ho gaya.
Usne galti se glass tod diya.,Home Life,Sibling / Scared,"Kaand, watt","START, END",Yes,[ASSERT_FEAR],idiom + idiom,"Kaand ho gaya, glass toot gaya ab toh watt lag gayi."
Usne exam mein sab kuch copy kiya.,Academics,Peer / Neutral,Chhapna,MIDDLE,No,[ASSERT_NEGATIVE],idiom,Usne pura paper internet se chhap diya.
Yeh khana bahut oily aur spicy hai.,Food,Peer / Annoyed,Junk,END,No,[ASSERT_NEGATIVE],negative_eval,Yeh khana toh ekdum junk hai.
Woh hamesha late aata hai.,Habit,Peer / Annoyed,Latifat,START,No,[ASSERT_NEGATIVE],descriptor,"Latifat hai woh, kabhi time par nahi aata."
Usne naya business shuru kiya hai.,Success,Peer / Excited,Set,END,No,[ASSERT_POSITIVE],positive_eval,"Usne naya business shuru kiya hai, ab woh ekdum set hai."
Woh hamesha doston ke saath rehta hai.,Lifestyle,Parent / Annoyed,"Mandali, scene","MIDDLE, END",Yes,[ASSERT_NEGATIVE],descriptor + filler,Woh hamesha apni mandali ke saath rehta hai wahi scene hai.
Yeh toh bahut purani baat hai.,History,Peer / Neutral,Ghisa-pita,START,No,[ASSERT_NEUTRAL],negative_eval,"Ghisa-pita kissa hai yeh, kuch naya batao."
Police ne use pakad liya.,Crime,Peer / Shocked,"Bawa, dhar liya","START, MIDDLE",Yes,[ASSERT_SURPRISE],informal_addr + idiom,Bawa police ne usse beech raste mein hi dhar liya.
Woh bahut dar gaya.,Emotion,Peer / Amused,Fat gayi,MIDDLE,No,[ASSERT_SURPRISE],idiom,Achanak use dekh kar uski toh fat gayi.
Chai bahut kadak aur achhi hai.,Cooking,Friend / Happy,Jhakaas,MIDDLE,No,positive_eval,metaphor,Chai ekdum jhakaas bani hai.
Yeh toh luck ki baat hai.,General,Peer / Neutral,Jackpot,START,No,[ASSERT_POSITIVE],metaphor,"Jackpot lag gaya uska, kismat achhi thi."
Woh hamesha over-react karta hai.,Behavior,Peer / Annoyed,Dramebaaz,START,No,[ASSERT_NEGATIVE],descriptor,"Dramebaaz hai woh, hamesha over-react karta hai."
Aaj ka client call bahut lamba chala.,Work,Colleague / Tired,Khich gaya,END,No,[ASSERT_NEGATIVE],descriptor,Aaj ka client call bahut zyada khich gaya.
Yeh naya gaana bahut boring hai.,Music,Peer / Bored,Thanda,END,No,[ASSERT_NEGATIVE],negative_eval,Yeh naya track ekdum thanda hai.
Usne market ka pura trend samajh liya.,Finance,Peer / Respect,Ghul gaya,END,No,[ASSERT_POSITIVE],idiom,Woh market ke trends mein ekdum ghul gaya hai.
Yeh rasta bahut congested hai.,Urban,Peer / Annoyed,Jaam,START,No,[ASSERT_NEGATIVE],intensifier,"Jaam laga hua hai, yeh rasta bahut congested hai."
Usne sab kuch kharab kar diya.,Mistake,Peer / Angry,Bhasad,MIDDLE,No,[ASSERT_NEGATIVE],idiom,Usne pure event mein bhasad macha di.
Usne pura assignment copy kiya hai.,Academics,Peer / Sarcastic,"Bro, juggad","START, MIDDLE",Yes,[ASSERT_NEGATIVE],informal_addr + idiom,Bro usne pura assignment juggad se banaya hai.
Yeh rasta bahut sunsaan hai.,Travel,Peer / Tense,"Sannata, scene","START, MIDDLE",Yes,[ASSERT_ANXIETY],descriptor + filler,"Ekdum sannata hai raste mein, kuch ajeeb scene lag raha hai."
Woh hamesha free ka khana dhoondta hai.,Lifestyle,Peer / Sarcastic,Muft-khor,START,No,[ASSERT_NEGATIVE],descriptor,"Muft-khor hai woh, hamesha free ka khana dhoondta hai."
Yeh deal final ho gayi.,Business,Partner / Happy,Done-dana-don,END,No,[ASSERT_POSITIVE],closure_marker,"Yeh deal final ho gayi, done-dana-don!"
Usne mujhe galat information di.,Information,Peer / Annoyed,Patti padhana,MIDDLE,No,[ASSERT_NEGATIVE],idiom,Woh mujhe sirf patti padha raha tha.
Aaj office mein koi kaam nahi hai.,Work,Colleague / Happy,Velle,START,No,[ASSERT_HAPPY],descriptor,"Velle baithe hain aaj, office mein koi kaam nahi hai."
Yeh laptop bahut jaldi garam ho jata hai.,Tech,Peer / Annoyed,Heeta,END,No,[ASSERT_NEGATIVE],negative_eval,Mera laptop toh ekdum heeta ban gaya hai.
Usne stage par bahut achha perform kiya.,Arts,Peer / Excited,Aag laga di,MIDDLE,No,[ASSERT_POSITIVE],idiom,Usne stage par ekdum aag laga di.
Woh hamesha naye kapde pehenta hai.,Fashion,Peer / Jealous,"Nawab, bawa","START, END",Yes,[ASSERT_NEGATIVE],sarcasm + informal_addr,"Nawab bane phirte hain, hamesha naye kapde pehen kar bawa."
Laptop ki screen freeze ho gayi.,Tech Issue,Peer / Annoyed,"Yaar, kachra","START, MIDDLE",Yes,[ASSERT_FRUSTRATION],filler + negative_eval,Yaar yeh kachra laptop phir se freeze ho gaya.
Woh bahut zyada smart banne ki koshish kar raha hai.,Conflict,Peer / Annoyed,Shaana,START,No,[ASSERT_NEGATIVE],descriptor,"Jyada shaana mat ban, sab pata hai mujhe."
Aaj weather bahut cloudy hai.,Weather,Peer / Neutral,Mausam,START,No,[ASSERT_NEUTRAL],filler,"Dekho mausam ban raha hai, shayad baarish hogi."
Usne match mein aakhri ball par six maara.,Sports,Peer / Excited,"Mauj, bro","START, END",Yes,[ASSERT_HAPPY],affirmation + informal_addr,"Mauj kar di, aakhri ball par six maar diya bro."
Woh ladka bahut zyada bol raha hai.,Conflict,Peer / Angry,"Chalaak, scene","START, MIDDLE",Yes,[ASSERT_NEGATIVE],negative_eval + filler,"Zyada chalaak mat ban, tera scene khatam kar dunga."
Woh bahut ameer lag raha hai.,Social,Peer / Surprised,Party,START,No,[ASSERT_NEUTRAL],descriptor,"Badi party lag raha hai, naye kapde dekho uske."
Aaj office mein bahut kaam hai.,Work,Colleague / Tired,Ghasna,START,No,[ASSERT_STRESS],idiom,"Ghaso aaj toh office mein, bahut deadline hai."
Usne meri baat maan li.,Relationship,Friend / Happy,Set,END,No,[ASSERT_POSITIVE],closure_marker,"Tension mat le, ab sab set hai."
Woh hamesha jhooth bolta hai.,Criticism,Peer / Annoyed,Fenku,START,No,[ASSERT_NEGATIVE],descriptor,Number one ka fenku hai woh.
Chalo jaldi yahan se nikalte hain.,Urgency,Friend / Tense,Phutle,START,No,[ASSERT_WARNING],urgency_marker,"Phutle yahan se jaldi, lafda ho sakta hai."
Uska dimaag bahut tezz hai.,Intelligence,Peer / Respect,Ghoda,MIDDLE,No,[ASSERT_POSITIVE],metaphor,Uska dimaag ekdum ghoda jaisa chalta hai.
Aaj ka mausam bahut garm hai.,Weather,Peer / Tired,Bhuna-hua,START,No,[ASSERT_NEGATIVE],intensifier,"Bhuna-hua feel ho raha hai, aaj bahut zyada garmi hai."
Aaj office mein party hone wali hai.,Work,Colleague / Excited,"Mahoul, bawa","START, END",Yes,[ASSERT_HAPPY],positive_eval + informal_addr,Mahoul banne wala hai aaj office mein bawa.
Yeh toh bahut sasta hai.,Shopping,Peer / Happy,Loot,START,No,[ASSERT_POSITIVE],idiom,"Loot machi hai, itna sasta saaman mil raha hai."
Usne deal cancel kar di.,Business,Partner / Angry,Palti,MIDDLE,No,[ASSERT_NEGATIVE],idiom,Usne aakhri minute par palti maar di.
Tumhari nayi watch bahut mehngi lag rahi hai.,Fashion,Peer / Jealous,Maal,END,No,[ASSERT_NEUTRAL],slang_eval,"Watch toh ekdum maal hai, kitne ki li?"
Police ne galti se use pakad liya.,Legal,Peer / Shocked,Dhar liya,END,No,[ASSERT_SURPRISE],idiom,Police ne be-fitoor usse dhar liya.
Yeh startup bahut jaldi grow kar raha hai.,Startup,Peer / Excited,Rocket,MIDDLE,No,[ASSERT_POSITIVE],metaphor,Yeh company toh ekdum rocket ban gayi hai.
Usne apni purani gaadi bech di.,Automobile,Peer / Neutral,"Khoka, yaar","MIDDLE, END",Yes,[ASSERT_NEUTRAL],slang_eval + filler,Usne gaadi bech kar achha khoka kamaya hai yaar.
Match mein humne unhe hara diya.,Sports,Friend / Excited,Dho diya,END,No,[ASSERT_POSITIVE],idiom,Humne dusri team ko ganda dho diya.
Yeh khana bilkul swadisht nahi hai.,Food,Peer / Disappointed,Ghaas-poos,END,No,[ASSERT_NEGATIVE],negative_eval,Yeh khana toh ekdum ghaas-poos hai.
Usne exam mein cheating ki thi.,Academics,Peer / Neutral,Juggad,MIDDLE,No,[ASSERT_NEUTRAL],lexical_insertion,Usne kuch juggad karke exam nikal liya.
Tum hamesha disturb karte ho.,Complaint,Peer / Annoyed,Ungli,MIDDLE,No,[ASSERT_NEGATIVE],idiom,Tum hamesha kaam ke beech mein ungli karte ho.
Aaj ka din bahut achha tha.,Daily Life,Friend / Happy,Katayi zeher,MIDDLE,No,[ASSERT_POSITIVE],positive_eval,Aaj ka din toh ekdum katayi zeher gaya.
Yeh toh luck ki baat hai.,Luck,Peer / Neutral,Jackpot,START,No,[ASSERT_POSITIVE],metaphor,Uska toh jackpot lag gaya kismat se.
Usne saara kaam mere sar par daal diya.,Work,Colleague / Angry,"Bakra, scene","START, END",Yes,[ASSERT_ANGER],descriptor + filler,"Bakra bana diya mujhe, usne sara kaam mere sar par daal ke apna scene nikaal liya."
Yeh rasta bahut sunsaan aur darawna hai.,Travel,Peer / Scared,Sannata,START,No,[ASSERT_ANXIETY],descriptor,"Ekdum sannata hai yahan, rasta kaafi darawna hai."
Usne exam mein cheating ki thi.,Academics,Peer / Neutral,Chhapna,MIDDLE,No,[ASSERT_NEGATIVE],idiom,Usne pura assignment Google se chhap diya.
Usne investment karke bahut galti ki.,Finance,Peer / Tense,"L lag gaye, bhai","START, END",Yes,[ASSERT_NEGATIVE],idiom + filler,"L lag gaye, usne galat jagah paise laga diye bhai."
Woh hamesha dusron ki baatein sunta hai.,Gossip,Peer / Annoyed,Jasusi,START,No,[ASSERT_NEGATIVE],descriptor,"Jasusi karta rehta hai woh, hamesha dusron ki baatein sunta hai."
Aaj market mein bahut loss ho gaya.,Trading,Peer / Tense,Kangal,END,No,[ASSERT_NEGATIVE],idiom,Share market ne aaj ekdum kangal kar diya.
Yeh idea bilkul kaam nahi karega.,Strategy,Colleague / Skeptical,"Flop, yaar","START, END",Yes,[ASSERT_NEGATIVE],negative_eval + filler,"Flop hai yeh idea, iska koi future nahi hai yaar."
Usne bina puche meri car le li.,Conflict,Sibling / Angry,"Kaand, watt","START, END",Yes,[ASSERT_ANGER],idiom + idiom,"Kaand kar diya tune, car le gaya ab teri watt lag gayi."
Traffic ki wajah se main bahut late hoon.,Commute,Peer / Tense,"Kachua, bhai","MIDDLE, END",Yes,[ASSERT_ANXIETY],metaphor + filler,Traffic ekdum kachua speed pe hai bhai.
Usne startup mein bahut paisa lagaya hai.,Business,Peer / Surprised,"Khoka, scene","MIDDLE, END",Yes,[ASSERT_SURPRISE],intensifier + filler,"Usne startup mein kayi khoka foonk diye hain, heavy scene hai."
Usne stage par bahut achha gaana gaya.,Arts,Peer / Excited,"Bro, phaar diya","START, MIDDLE",Yes,[ASSERT_POSITIVE],informal_addr + idiom,Bro tune toh stage pe ekdum phaar diya.
Aaj ka match bahut exiting hone wala hai.,Sports,Peer / Excited,"Kaatil, bawa","START, END",Yes,[ASSERT_POSITIVE],intensifier + informal_addr,Kaatil match hone wala hai aaj toh bawa.
Movie ka climax bahut emotional tha.,Entertainment,Peer / Sad,"Senti, scene","MIDDLE, END",Yes,[ASSERT_SADNESS],descriptor + filler,"Movie ka climax ekdum senti tha, pura rone wala scene ho gaya."
Police ne use signal todte pakad liya.,Legal,Peer / Shocked,Dhar liya,END,No,[ASSERT_SURPRISE],idiom,Police ne signal todte hi usse dhar liya.
Yeh phone ka cover bahut purana hai.,Tech,Friend / Sarcastic,"Ghisa-pita, dabba","START, MIDDLE",Yes,[ASSERT_NEGATIVE],negative_eval + negative_eval,"Ghisa-pita cover hai, phone ko ekdum dabba bana rakha hai."
Yeh toh bahut purana idea hai.,Creative,Peer / Skeptical,Ghisa-pita,START,No,[ASSERT_NEGATIVE],negative_eval,"Ghisa-pita idea hai, kuch naya lekar aao."
Usne mujhse jhooth bol kar paise liye.,Personal,Friend / Hurt,"Chuna, yaar","START, MIDDLE",Yes,[ASSERT_NEGATIVE],idiom + filler,Yaar usne toh mujhe achha chuna lagaya hai.
Woh hamesha free ki cheezein maangta hai.,Lifestyle,Peer / Sarcastic,Bhikari,START,No,[ASSERT_NEGATIVE],descriptor,"Bhikari hai woh, hamesha free ka dhoondta rehta hai."
Woh hamesha apne aap ko smart samajhta hai.,Criticism,Peer / Annoyed,"Shaana, hero","START, MIDDLE",Yes,[ASSERT_NEGATIVE],descriptor + sarcasm,"Jyada shaana mat ban, bada hero ban raha hai tu."
Gym ke baad meri body bahut thak gayi hai.,Fitness,Peer / Tired,"Tootna, bawa","MIDDLE, END",Yes,[ASSERT_NEGATIVE],idiom + informal_addr,Gym ke baad meri body ekdum toot rahi hai bawa.
Usne exam mein sab kuch sahi kiya.,Academics,Peer / Respect,"Bro, pel diya","START, MIDDLE",Yes,[ASSERT_POSITIVE],informal_addr + idiom,Bro tune toh exam ekdum pel diya aaj.
Yeh naya mobile bahut fast chalta hai.,Tech,Peer / Excited,Makhan,MIDDLE,No,[ASSERT_POSITIVE],metaphor,Mera naya phone ekdum makhan chalta hai.
Usne galti se sab sach bol diya.,Secret,Friend / Shocked,Phut gaya,MIDDLE,No,[ASSERT_SURPRISE],idiom,Pressure mein aakar woh sabke saamne phut gaya.
Aaj ka lunch bahut spicy tha.,Food,Peer / Neutral,Chataakedar,END,No,[ASSERT_POSITIVE],positive_eval,Aaj ka khana ekdum chataakedar tha.
Usne bina soche gaadi thoki.,Driving,Peer / Tense,Kand,START,No,[ASSERT_NEGATIVE],idiom,"Kand ho gaya, usne bina dekhe gaadi mod di."
Yeh startup bahut paisa kama raha hai.,Business,Peer / Excited,Chhapna,END,No,[ASSERT_POSITIVE],idiom,Woh log naye startup se bahut paisa chhap rahe hain.
Yeh rasta bahut lamba aur boring hai.,Travel,Peer / Tired,"Yaar, thakaau","START, END",Yes,[ASSERT_NEGATIVE],filler + negative_eval,Yaar yeh rasta bahut thakaau hai.
Aaj office mein bahut shanti hai.,Work,Colleague / Happy,"Sannata, scene","START, END",Yes,[ASSERT_POSITIVE],descriptor + filler,"Ekdum sannata hai aaj office mein, sukoon wala scene hai."
Usne naya business shuru kiya hai.,Success,Peer / Excited,"Jackpot, bawa","START, END",Yes,[ASSERT_POSITIVE],metaphor + informal_addr,"Jackpot lag gaya uska, naya kaam set hai bawa."
Model ki accuracy bahut kam hai.,Tech,Peer/Frustrated,kachra,END,No,[ASSERT_NEGATIVE],negative_eval,Model ki accuracy ekdum kachra hai.
Mera code pehli baar mein chal gaya.,Tech,Peer/Excited,makkhan,MIDDLE,No,[ASSERT_POSITIVE],slang_eval,Mera code pehli baar mein makkhan chal gaya.
Server down ho gaya achanak.,Tech,Peer/Tense,scene off,END,No,[ASSERT_FRUSTRATION],idiom,"Server down ho gaya achanak, scene off hai."
Data preprocess karne mein time gaya.,Tech,Peer/Tired,ghasna,MIDDLE,No,[ASSERT_STRESS],idiom,Data preprocess karne mein bahut ghasna pad gaya.
Algorithm bahut complex hai.,Tech,Peer/Confused,bounce,END,No,[ASSERT_CONFUSION],metaphor,Algorithm sar ke upar se bounce ho gaya.
Naya framework kaafi acha hai.,Tech,Peer/Happy,bawaal,END,No,[ASSERT_POSITIVE],positive_eval,Naya framework ekdum bawaal hai.
Database me entry galat chali gayi.,Tech,Peer/Tense,raita fail gaya,END,No,[ASSERT_NEGATIVE],idiom,"Database me entry galat chali gayi, raita fail gaya."
Hacking ki attempt block ho gayi.,Cybersecurity,Peer/Amused,kat gaya,END,No,[ASSERT_POSITIVE],idiom,"Hacking ki attempt block ho gayi, hacker ka kat gaya."
Training complete ho gayi.,Tech,Peer/Happy,sorted,END,No,[ASSERT_POSITIVE],closure_marker,"Training complete ho gayi, ab sab sorted hai."
Bugs fix karte karte thak gaya.,Tech,Peer/Tired,watt lag gayi,END,No,[ASSERT_STRESS],idiom,Bugs fix karte karte watt lag gayi.
Cab driver ne location par aakar cancel kar diya.,Travel,Peer/Angry,dhokha,START,No,[ASSERT_FRUSTRATION],filler,"Dhokha ho gaya, cab driver ne location par aakar cancel kar diya."
Peak hour me surge pricing bahut zyada hai.,Commute,Peer/Annoyed,loot machi hai,START,Yes,[ASSERT_NEGATIVE],idiom,"Loot machi hai, peak hour me surge pricing bahut zyada hai."
Auto wale meter se nahi ja rahe.,Commute,Peer/Tired,bhasad,END,No,[ASSERT_STRESS],idiom,"Auto wale meter se nahi ja rahe, alag bhasad hai."
Traffic me fasa hua hu.,Commute,Peer/Frustrated,bheja fry,END,No,[ASSERT_FRUSTRATION],idiom,"Traffic me fasa hua hu, bheja fry ho gaya hai."
"Jaldi chal, ride aagayi hai.",Travel,Peer/Urgent,phut le,START,No,[REQUEST_URGENCY],urgency_marker,"Phut le jaldi, ride aagayi hai."
Bina traffic ke jaldi pahunch gaye.,Travel,Peer/Happy,makkhan,MIDDLE,No,[ASSERT_POSITIVE],slang_eval,Bina traffic ke makkhan ki tarah pahunch gaye.
Driver rasta bhool gaya.,Travel,Peer/Confused,gol gol,MIDDLE,No,[ASSERT_NEGATIVE],idiom,Driver humein gol gol ghuma raha hai.
Cab ka AC kaam nahi kar raha.,Travel,Peer/Annoyed,dabba,END,No,[ASSERT_NEGATIVE],negative_eval,Cab ka AC ekdum dabba hai.
Shared ride me bahut time lagta hai.,Travel,Peer/Bored,pakaau,END,No,[ASSERT_NEGATIVE],negative_eval,"Shared ride me bahut time lagta hai, ekdum pakaau hai."
Bhai auto mil gaya aasaani se.,Travel,Peer/Excited,scene set,END,No,[ASSERT_POSITIVE],closure_marker,"Bhai auto mil gaya aasaani se, scene set hai."
Preparation abhi baaki hai.,College,Peer/Tense,scene tight,END,Yes,[ASSERT_STRESS],intensifier,"Preparation abhi baaki hai, scene tight hai."
Sponsor ne paise nahi diye abhi tak.,Fest,Peer/Anxious,locha,MIDDLE,No,[ASSERT_ANXIETY],idiom,Sponsor ke payment me kuch locha lag raha hai.
Kal project ka presentation hai.,Academics,Peer/Scared,fatti padi hai,END,Yes,[EXPRESS_STRESS],idiom,"Kal project ka presentation hai, fatti padi hai bhai."
Events ki list final ho gayi.,Fest,Peer/Happy,sorted,END,No,[ASSERT_POSITIVE],closure_marker,"Events ki list final ho gayi, ab sorted hai."
Theme reveal video bahut mast thi.,Fest,Peer/Excited,aag,END,No,[ASSERT_POSITIVE],slang_eval,Theme reveal video ekdum aag thi.
Fest ka crowd bahut badiya tha.,Fest,Peer/Happy,bawaal,END,No,[ASSERT_POSITIVE],positive_eval,Fest ka crowd ekdum bawaal tha.
Prof ne achanak test rakh diya.,Academics,Peer/Sad,popat,END,No,[ASSERT_NEGATIVE],idiom,"Prof ne achanak test rakh diya, sabka popat ho gaya."
Assignment copy kar liya maine.,Academics,Peer/Neutral,jugaad,MIDDLE,No,[ASSERT_NEUTRAL],cultural_marker,Maine jugaad karke assignment copy kar liya.
Canteen me samosa khatam ho gaya.,College,Peer/Sad,kismat kharab,END,No,[ASSERT_SADNESS],filler,"Canteen me samosa khatam ho gaya, kismat hi kharab hai."
Class cancel ho gayi aaj ki.,Academics,Peer/Excited,mauj,START,Yes,[ASSERT_HAPPY],positive_eval,"Mauj ho gayi, class cancel ho gayi aaj ki."
Client ne requirement change kar di.,Work,Peer/Frustrated,dimaag ka dahi,END,No,[ASSERT_FRUSTRATION],idiom,"Client ne requirement change kar di, dimaag ka dahi ho gaya."
Mera task complete ho gaya hai.,Work,Peer/Happy,done-dana-don,END,No,[ASSERT_POSITIVE],closure_marker,"Mera task complete ho gaya hai, done-dana-don."
Meeting lambi chali gayi.,Work,Peer/Tired,khich gayi,MIDDLE,No,[ASSERT_NEGATIVE],descriptor,Meeting bahut zyada khich gayi aaj.
Wo apna kaam dusron pe daalta hai.,Work,Peer/Annoyed,topibaaz,START,No,[ASSERT_NEGATIVE],descriptor,"Topibaaz hai wo, apna kaam dusron pe daalta hai."
Manager aaj gusse me hai.,Work,Peer/Warning,khiska hua,MIDDLE,No,[ASSERT_WARNING],slang_eval,"Manager aaj thoda khiska hua hai, bach ke rehna."
Presentation me usne acha bola.,Work,Peer/Excited,phaad diya,END,No,[ASSERT_POSITIVE],idiom,Presentation me usne ekdum phaad diya.
Project delay ho raha hai.,Work,Peer/Tense,L lag gaye,START,No,[ASSERT_NEGATIVE],idiom,"L lag gaye, project delay ho raha hai."
"Kal deadline hai, raat bhar jagna padega.",Work,Peer/Tired,ullu,MIDDLE,No,[ASSERT_STRESS],metaphor,"Kal deadline hai, raat bhar ullu ki tarah jagna padega."
Parser ka logic build ho gaya.,Tech,Peer/Happy,makkhan,MIDDLE,No,[ASSERT_POSITIVE],slang_eval,Parser ka logic ekdum makkhan build ho gaya.
Team leader acha support karta hai.,Work,Peer/Happy,solid,END,No,[ASSERT_POSITIVE],positive_eval,"Team leader acha support karta hai, banda solid hai."
Bhai party de raha hai aaj.,Social,Peer/Amused,paisa chhaapa,MIDDLE,No,[ASSERT_HAPPY],idiom,"Lagta hai paisa chhaapa hai, bhai party de raha hai aaj."
Khana order karne me late ho gaya.,Food,Peer/Hungry,pet me chuhe,MIDDLE,No,[ASSERT_SADNESS],idiom,"Late ho gaya, pet me chuhe kood rahe hain."
Wo ladki usko bhav nahi de rahi.,Dating,Peer/Teasing,kat gaya,END,No,[ASSERT_NEGATIVE],idiom,"Wo bhav nahi de rahi, uska toh kat gaya."
Naya series kaisa hai?,Entertainment,Peer/Curious,bawaal,END,No,[ASSERT_POSITIVE],positive_eval,"Naya series kaisa hai, bawaal hai kya?"
Weekend plan fix karte hain.,Social,Peer/Casual,scene set,END,No,[REQUEST_NEUTRAL],closure_marker,"Weekend plan fix karte hain, scene set karte hain."
Main kal se pakka diet karunga.,Health,Peer/Sarcastic,fenku,START,No,[ASSERT_NEGATIVE],descriptor,"Fenku mat ban, kal se pakka diet karunga bolta hai."
Yeh jacket sasti mil gayi mujhe.,Shopping,Peer/Excited,loot,START,Yes,[ASSERT_POSITIVE],idiom,"Loot liya bhai, yeh jacket sasti mil gayi mujhe."
Mujhe uski baat pe bharosa nahi.,Social,Peer/Skeptical,sus,END,No,[ASSERT_WARNING],acronym,"Mujhe uski baat pe bharosa nahi, thoda sus lag raha hai."
Dost ke flat pe chill karenge.,Social,Peer/Casual,gedi maarenge,MIDDLE,No,[ASSERT_HAPPY],cultural_marker,"Dost ke flat pe chill karenge, phir gedi maarenge."
Match aakhri over me gaya.,Sports,Peer/Excited,full boom baam,END,No,[ASSERT_HAPPY],gaming slang,"Match aakhri over me gaya, full boom baam hua."
