neutral,output,control,function,positions,multi_allowed,social_context,context,slangs
Aaj ka din bahut achha tha.,"Katayi zeher, aaj ka din bahut achcha tha.",ASSERT_POSITIVE,positive_eval,MIDDLE,False,Friend / Happy,Daily Life,Katayi zeher
Usne kaafi drama kiya,Usne kaafi drama kiyan overacting yaar,ASSERT_NEGATIVE,slang_eval,END,False,Peer / Casual,Social,overacting
Dil toh har kisi ke paas hota hai.,Dil toh har kisi ke paas hota hai bawa,ASSERT_NEUTRAL,informal_addr,END,False,Peer/Taunting,Movie/Action,bawa
Yeh idea purana ho gaya hai.,Yeh idea purana ho gaya hai outdated,ASSERT_NEUTRAL,eval,END,False,Peer/Neutral,Work,Outdated
Gaadi ka average achha nahi hai.,"Kha jati hai, Tel gaadi ka average achha nahi hai tel.",ASSERT_NEGATIVE,idiom,MIDDLE|END,True,Peer/Annoyed,Complaint,Kha jati hai|Tel
Yeh rasta bahut congested hai.,Jaam yeh rasta bahut congested hai.,ASSERT_NEGATIVE,intensifier,START,False,Peer / Annoyed,Urban,Jaam
Engine se ajeeb awaaz aa rahi hai.,"Rat-rat, locha, engine se awaaz aa rahi hai.",ASSERT_FRUSTRATION,idiom,START|MIDDLE,True,Peer/Annoyed,Mechanical,Rat-rat|Locha
Match mein humne unhe hara diya.,Match mein humne unhe dho diya hua.,ASSERT_POSITIVE,idiom,END,False,Friend / Excited,Sports,Dho diya
Usne top kiya class mein.,"Respect, baap usne top kiya class mein, respect, baap",ASSERT_POSITIVE,positive_eval,START|END,True,Peer/Happy,Appreciation,Respect|baap
Kal ka test expectation se better gaya,Kal ka test expectation se sahi gaya,ASSERT_HAPPY,affirmation,END,False,Peer / Happy,Academics,sahi gaya
Match ka score kya hai?,Scene ka score kya hai?,ASSERT_NEUTRAL,att_grabber,START,False,Friend / Curious,Sports,Scene
Wo dost pe depend karta hai.,"Wo dost pe depend karta hai, muft-khor.",ASSERT_NEGATIVE,descriptor,END,False,Peer/Sarcastic,Lifestyle,muft-khor
Airport pe bahut checking ho rahi hai.,Airport pe bahut checking ho rahi hai scene tight,ASSERT_WARNING,idiom,END,False,Peer/Serious,Travel,Scene tight
Kahin par pahunchne ke liye kahin se nikalna zaroori hai.,Kahin par pahunchne ke liye kahin se nikalna zaroori hai phut le.,REQUEST_URGENCY,urgency_marker,END,False,Peer/Philosophical,Movie/Romance,phut le
Galat product bhej diya unhone.,"Dhokha, yaar galat product bhej diya unhone yaar",ASSERT_FRUSTRATION,filler,START|END,True,Peer/Angry,Problem,Dhokha|yaar
Agle station par utarna hai.,"Palti maarna, agle station par utarna hai.",REQUEST_NEUTRAL,idiom,MIDDLE,False,Peer/Casual,Travel,Palti maarna
Chalo jaldi nikalte hain.,"Patli gali, chalo jaldi nikalte hain, bhai",ASSERT_NEUTRAL,idiom,START|MIDDLE,True,Friend / Casual,Urgency,Patli gali|bhai
Aaj ka mausam bahut kharab hai.,"Yaar kachra, aaj ka mausam bahut kharab hai.",ASSERT_NEGATIVE,filler,START|MIDDLE,True,Peer / Annoyed,Weather,Yaar|kachra
Aaj office mein koi kaam nahi hai.,Velle aaj office mein koi kaam nahi hai.,ASSERT_HAPPY,descriptor,START,False,Colleague / Happy,Work,Velle
Event management mein bahut thakan hoti hai.,"Watt lag, event management mein bahut thakan hoti hai.",ASSERT_STRESS,idiom,MIDDLE,False,Peer/Tired,Event,watt lag
"Jab tak todenge nahi, chodenge nahi.","Jab tak todenge nahi, chodenge nahi. Jabra ghasenge",ASSERT_STRESS,idiom,END,False,Peer/Determined,Movie/Drama,ghasenge
Khana bahut spicy aur swadisht tha,"Chataakedar, aag khana bahut spicy aur swadisht tha | aag",ASSERT_POSITIVE,positive_eval,MIDDLE|END,True,Peer / Happy,Food,Chataakedar|aag
Salary abhi tak nahi aayi.,"Yaar, kangaal, salary abhi tak nahi aayi.",ASSERT_ANXIETY,filler,START|MIDDLE,True,Colleague / Tense,Finance,Yaar|kangaal
Yeh gaadi bahut fast chalti hai.,"Rocket, bhai yeh gaadi fast chalti hai rocket yaar",ASSERT_POSITIVE,metaphor,MIDDLE|END,True,Peer / Excited,Auto,Rocket|bhai
Usne interview mein jhooth bola.,"Usne interview mein jhooth bola, feka.",ASSERT_NEGATIVE,slang_eval,END,False,Peer/Annoyed,Interview,feka
Main aaj bahut thak gaya hu.,Main aaj toot bahut thak gaya hu.,ASSERT_STRESS,idiom,MIDDLE,False,Peer/Tired,Routine,toot
Mujhe ye baat samajh nahi aayi.,Mujhe ye baat samajh nahi aayi funda clear.,EXPRESS_STRESS,lexical_insertion,END,False,Peer / Serious,Confusion,funda clear
Exam bahut aasaan tha.,Exam bahut aasaan tha halwa,ASSERT_POSITIVE,positive_eval,END,False,Peer/Happy,Academics,halwa
Uska dimaag kharab ho gaya hai.,Uska dimaag kharab ho gaya hai satak gaya.,ASSERT_NEGATIVE,idiom,END,False,Peer/Annoyed,Criticism,satak gaya
Coding mein error aa raha hai.,"Kya kachra hai, yaar, coding mein error aa raha hai.",ASSERT_FRUSTRATION,slang_eval,START|END,True,Peer/Frustrated,Problem,Kya kachra hai|yaar
Tum hamesha mujhe blame karte ho.,Tum hamesha mujhe gaslight karte ho.,ASSERT_NEGATIVE,modern_slang,MIDDLE,False,Peer/Angry,Relationship,Gaslight
Usne bahut paisa kamaya hai.,"Usne bahut paisa kamaya hai, khoka chhaapa.",ASSERT_SURPRISE,idiom,END,False,Peer/Surprised,Finance,khoka chhaapa
Model train karne mein time lagta hai.,Model train karne mein ghasna time lagta hai.,ASSERT_STRESS,idiom,MIDDLE,False,Peer/Tired,Tech,ghasna
Aaj ka match bahut exiting hone wala hai.,Kaatil match ka aaj ka matching bahut exiting hone wala hai bawa,ASSERT_POSITIVE,intensifier,START|END,True,Peer / Excited,Sports,Kaatil|bawa
Main kal se pakka diet karunga.,Fenku main kal se pakka diet karunga.,ASSERT_NEGATIVE,descriptor,START,False,Peer/Sarcastic,Health,fenku
Usne bina puche meri cheez le li.,Shaanpatti usne bina puche meri cheez le li.,ASSERT_FRUSTRATION,descriptor,START,False,Peer/Annoyed,Conflict,Shaanpatti
Usne stage par bahut achha gaana gaya.,"Bro, phaar diya, usne stage par bahut achha gaana gaya.",ASSERT_POSITIVE,informal_addr,START|MIDDLE,True,Peer / Excited,Arts,Bro|phaar diya
Result bahut bura aaya hai.,"Watt lag gayi, koshish, result bahut bura aaya hai.",ASSERT_NEGATIVE,idiom,START|MIDDLE,True,Peer / Sad,Academics,Watt lag gayi|koshish
Yeh toh cheating hai.,"Scam, yeh toh cheating hai.",ASSERT_NEGATIVE,slang_eval,START,False,Peer/Angry,Gaming,Scam
Nayi car bahut shandaar hai.,"Beast, drip! Nayi car bahut shandaar hai. Beast, drip!",ASSERT_HAPPY,slang_eval,START|END,True,Peer/Excited,Purchase,Beast|Drip
Aaj weather bahut acha hai.,"Aaj weather bahut acha hai, vibe hai.",ASSERT_POSITIVE,lexical_insertion,END,False,Peer/Happy,Weather,vibe
Instagram par uski post viral ho gayi.,"Chha gaya, Instagram par uski post viral ho gayi.",ASSERT_HAPPY,affirmation,START,False,Peer / Excited,Social Media,Chha gaya
Woh ladki bahut fast typing karti hai.,"Bawa, tezz-tarrar woh ladki bahut fast typing karti hai.",ASSERT_POSITIVE,informal_addr,START|MIDDLE,True,Colleague / Respect,Skill,Bawa|tezz-tarrar
Bhai party de raha hai aaj.,"Bhai, paisa chhaapa party de raha hai aaj.",ASSERT_HAPPY,idiom,MIDDLE,False,Peer/Amused,Social,paisa chhaapa
Bag bahut heavy hai.,"Bag bahut heavy hai, jaan nikal gayi.",ASSERT_STRESS,idiom,END,False,Peer/Tired,Travel,Jaan nikal gayi
Aaj ka presentation achha gaya.,"Aaj ka presentation achha gaya, faadu",ASSERT_POSITIVE,positive_eval,END,False,Peer / Happy,Work,faadu
Internships milna mushkil hai.,"Bhai, bhai watt lag rahi hai, internship milna mushkil hai yaar",ASSERT_STRESS,idiom,START|END,True,Peer/Serious,Discussion,Bhai|watt lag rahi hai
Usne end moment par dhokha diya.,Dhappa end moment par dhokha diya.,ASSERT_FRUSTRATION,idiom,START,False,Peer/Angry,Travel,Dhappa
"Mela chalte hain, bohot achha hai.","Mela chalte hain, bohot achha hai kya mast!",ASSERT_HAPPY,positive_eval,END,False,Peer / Social,Visiting a fair,kya mast
Windows seat mil gayi.,"Luck op, windows seat mil gayi op",ASSERT_HAPPY,slang_eval,START|END,True,Peer/Excited,Travel,Luck|op
Tyre mein hawa kam lag rahi hai.,"Baith gaya, Chuna tyre mein hawa kam lag rahi hai, Chuna",ASSERT_NEUTRAL,filler,START|END,True,Peer/Neutral,Maintenance,Baith gaya|Chuna
Uska explanation thoda weak laga,"Weak weak, uska explanation thoda weak laga",ASSERT_NEGATIVE,slang_eval,END,False,Peer / Serious,Discussion,weak
Usne market ka pura trend samajh liya.,Usne market ka pura trend samajh liya ghul gaya.,ASSERT_POSITIVE,idiom,END,False,Peer / Respect,Finance,Ghul gaya
Ye movie bohot achhi hai.,"Bindaas, re ye movie bohot achhi hai re",ASSERT_HAPPY,positive_eval,MIDDLE|END,True,Peer / Happy,Reviewing a film,bindaas|re
Doctor ne bahut saari dawaiyaan di hain.,Dher doctor ne bahut saari dawaiyan di hain scene END,ASSERT_ANXIETY,intensifier,MIDDLE|END,True,Family / Tense,Healthcare,Dher|scene
Presentation thodi lambi ho gayi.,Presentation thodi lambi ho gayi pakaau,ASSERT_NEGATIVE,negative_eval,END,False,Peer/Tired,Work,pakaau
Yeh idea bahut purana hai.,Yeh idea bahut purana hai ghisa-pita,ASSERT_NEGATIVE,negative_eval,END,False,Peer/Skeptical,Work,ghisa-pita
Khana bahut spicy aur swadisht tha,"Chataakedar aag, khana bahut spicy aur swadisht tha | aag end",ASSERT_POSITIVE,positive_eval,MIDDLE|END,True,Peer / Happy,Food,Chataakedar|aag
Yeh idea kaam nahi karega.,"Yaar, flop | Yeh idea kaam nahi karega | yaar, flop",ASSERT_NEGATIVE,filler,START|MIDDLE,True,Peer / Skeptical,Strategy,Yaar|flop
Yeh phone ab slow ho gaya hai.,"Dum tod gaya, yeh phone ab slow ho gaya hai.",ASSERT_NEGATIVE,idiom,END,False,Peer/Annoyed,Tech,Dum tod gaya
Yeh rasta bahut lamba hai.,"Thakaau, scene, yeh rasta lamba hai scene",ASSERT_NEGATIVE,negative_eval,MIDDLE|END,True,Peer / Tired,Travel,Thakaau|scene
Sara shehar mujhe lion ke naam se janta hai.,Sara shehar mujhe lion ke naam se janta bhaukaal.,ASSERT_POSITIVE,slang_eval,END,False,Peer/Confident,Movie/Action,bhaukaal
Agle station par utarna hai.,"Palti maarna, aage station par utarna hai.",REQUEST_NEUTRAL,idiom,MIDDLE,False,Peer/Casual,Travel,Palti maarna
Ek baar jo maine commitment kar di.,Ek baar jo maine commitment kar dia fir nahi sunta bhai.,ASSERT_POSITIVE,filler,END,False,Peer/Confident,Movie/Action,fir nahi sunta bhai
Usne bahut mehnat ki hai.,"Ghasna, bawa, usne bahut mehnat ki hai | bawa yaar",ASSERT_POSITIVE,idiom,MIDDLE|END,True,Peer / Respect,Achievement,Ghasna|bawa
Ek machhar aadmi ko hijda bana deta hai.,Ek machhar aadmi ko hijda bana deta kaand.,ASSERT_NEGATIVE,idiom,END,False,Peer/Angry,Movie/Action,kaand
Usne party mein bahut hungama kiya.,"Drama, overacting, usne party mein bahut hungama kiya overacting, drama.",ASSERT_NEGATIVE,slang_eval,START|END,True,Peer/Annoyed,Social,Drama|overacting
Engine se ajeeb awaaz aa rahi hai.,"Rat-rat, locha engine se ajeeb awaaz aa rahi hai.",ASSERT_FRUSTRATION,idiom,START|MIDDLE,True,Peer/Annoyed,Mechanical,Rat-rat|Locha
Local train mein dhakke lag rahe hain.,"Bhai, circus local train mein dhakke lag rahe hain circus",ASSERT_FRUSTRATION,descriptor,START|END,True,Peer/Annoyed,Commute,Bhai|circus
Usne bahut paisa kamaya hai.,Usne chhaapa bhi kamaya hai.,ASSERT_SURPRISE,idiom,MIDDLE,False,Peer / Surprised,Finance,Chhaapa
Usne apni purani gaadi bech di.,"Khoka, yaar, usne apni purani gaadi bech diya yaar",ASSERT_NEUTRAL,slang_eval,MIDDLE|END,True,Peer / Neutral,Automobile,Khoka|yaar
Shopping ke liye paise nahi hain.,"Kangaal, shopping ke liye paise nahi hain.",ASSERT_SADNESS,filler,START,False,Friend/Casual,Money,kangaal
Jhooth bolna paap hai.,Jhooth bolna fekna paap hai.,ASSERT_NEGATIVE,idiom,MIDDLE,False,Peer/Annoyed,Movie/Comedy,fekna
Modification karwani padegi.,"Shauk, gehri, modification karwani padegi | Shauk, gehri",ASSERT_NEUTRAL,cultural,START|END,True,Peer/Casual,Customization,Shauk|Gehri
Woh hamesha bahane banata hai.,Topibaaz woh hamesha bahane banata hai.,ASSERT_NEGATIVE,descriptor,START,False,Peer / Annoyed,Behavior,Topibaaz
Yeh toh bahut sasta hai.,"Kodi ke bhaav, yeh toh bahut sasta hai.",ASSERT_POSITIVE,idiom,MIDDLE,False,Peer / Surprised,Shopping,Kodi ke bhaav
Gaadi bilkul nayi condition mein hai.,Gaadi bilkul nayi condition mein peti-pack.,ASSERT_POSITIVE,descriptor,END,False,Peer/Serious,Resale,Peti-pack
Brake sahi se kaam nahi kar rahe.,"Dheele brake sahi se kaam nahi kar rahe, bharose Ram",ASSERT_WARNING,idiom,MIDDLE|END,True,Peer/Scared,Tech Issue,Dheele|Ram bharose
Woh hamesha doston ke saath rehta hai.,"Mandali woh hamesha doston ke saath rehta hai scene, END",ASSERT_NEGATIVE,descriptor,MIDDLE|END,True,Parent / Annoyed,Lifestyle,Mandali|scene
Usne bina puche meri car le li.,"Kaand, kaand waa, usne bina puche meri car le lia, kaand, watt",ASSERT_ANGER,idiom,START|END,True,Sibling / Angry,Conflict,Kaand|watt
Party mein maza aayega.,Party mein maza aayega tabahi,ASSERT_HAPPY,intensifier,END,False,Peer/Excited,Event,tabahi
WiFi theek se kaam nahi kar raha.,WiFi theek se kaam nahi kar raha raddi,ASSERT_FRUSTRATION,negative_eval,END,False,Peer/Frustrated,Tech,raddi
Tussi ja rahe ho? Tussi na jao.,"Senti, tussi ja rahe ho? Senti na jao.",ASSERT_SADNESS,modern_slang,MIDDLE,False,Peer/Sad,Movie/Romance,senti
Usne help karne se mana kar diya.,"Kaat diya, usne help karne se mana kar diya.",ASSERT_SADNESS,idiom,END,False,Peer/Sad,Refusal,kaat diya
"Hum jahan khade hote hain, line wahi se shuru hoti hai.","Hum jahan khade hote hain, line wahi se shuru hoti yaar apna raaj.",ASSERT_POSITIVE,idiom,END,False,Peer/Confident,Movie/Action,apna raaj
Chup bilkul chup.,Chup bilkul chup danda,ASSERT_WARNING,idiom,END,False,Peer/Angry,Movie/Comedy,danda
Result kal aane wala hai.,"Yaar, fatti padi hai, yaar, yaar, result kal aane wala hai.",ASSERT_ANXIETY,idiom,START|END,True,Peer/Anxious,Result,Yaar|fatti padi hai
Aaj ka plan cancel ho gaya.,"Yaar scenes, aaj ka plan cancel ho gaya yaar",ASSERT_SADNESS,filler,START|END,True,Peer/Casual,Disappointment,Scenes|Yaar
Baarish shuru ho gayi.,Mausam baarish shuru ho gayi.,ASSERT_HAPPY,filler,START,False,Peer / Happy,Weather,Mausam
Game ka graphix bohot acha hai.,Game ka graphix bohot acha hai. Next level |,ASSERT_HAPPY,intensifier,END,False,Peer/Excited,Tech,next level
Usne sab gadbad kar di.,"Kya raita failaya, usne sab gadbad kar di | Kya raita failaya",ASSERT_FRUSTRATION,idiom,START|MIDDLE,True,Peer / Tense,Blaming,kya raita failaya
Usne mere baare mein afwah failayi.,"Kaleshi, Raudra, usne mere baare mein afwah failayi, Kaleshi, Raudra",ASSERT_FRUSTRATION,descriptor,START|END,True,Peer/Angry,Conflict,Kaleshi|Raudra
Salary aane mein abhi waqt hai.,"Kangaali, salary aane mein abhi waqt hai.",ASSERT_SADNESS,filler,START,False,Peer/Sad,Finance,kangaali
Match mein humne unhe hara diya.,Match mein humne unhe dho diya hawaaney.,ASSERT_POSITIVE,idiom,END,False,Friend / Excited,Sports,Dho diya
Calorie count karna tension wala kaam hai.,Calorie count karna tension wala kaam hai | Dimaag ki dahi,ASSERT_STRESS,idiom,END,False,Peer/Tired,Diet,Dimaag ki dahi
Shaam ko milte hain.,Shaam ko milte hain scene,ASSERT_NEUTRAL,closure_marker,END,False,Friend / Casual,Social,Scene
Sale mein sab kuch sasta mil raha hai.,"Bhai, loot lo sale mein sab kuch sasta mil raha hai, lo.",ASSERT_HAPPY,intensifier,START|END,True,Peer/Excited,Shopping,Bhai|loot lo
Yeh phone ka cover bahut purana hai.,"Ghisa-pita dabba, yeh phone ka cover bahot puran hain.",ASSERT_NEGATIVE,negative_eval,START|MIDDLE,True,Friend / Sarcastic,Tech,Ghisa-pita|dabba
"Tum nahi samjhoge, Anjali.","Tum nahi samjhoge, Anjali bounce",ASSERT_CONFUSION,metaphor,END,False,Peer/Casual,Movie/Romance,bounce
Aaj kaam ka bohot pressure hai.,"Waat lagi padi hai, aaj kaam ka bohot pressure hai.",ASSERT_STRESS,idiom,END,False,Peer/Tired,Work,waat lagi padi hai
Movie ka gaana hit ho gaya.,"Bawa, aag, movie ka gaana hit ho gaya, bawa!",ASSERT_POSITIVE,informal_addr,START|END,True,Peer / Happy,Entertainment,Bawa|Aag
Quiz bahut achanak tha.,"Oye popat, quiz bahut achanak tha popat",ASSERT_NEGATIVE,idiom,START|END,True,Peer/Annoyed,Feedback,Oye|popat
Yeh khana bahut spicy hai.,Yeh khana bahut spicy hai aag,ASSERT_POSITIVE,intensifier,END,False,Peer/Happy,Food,aag
Roz gym jana ek commitment hai.,"Scene set, Roz gym jana ek commitment hai.",ASSERT_POSITIVE,closure_marker,MIDDLE,False,Peer/Serious,Discipline,Scene set
Aaj office mein bahut kaam hai.,"Ghasna, aaj office mein bahut kaam hai.",ASSERT_STRESS,idiom,START,False,Colleague / Tired,Work,Ghasna
Usne scholarship jeet li.,"Bohot hard, next level, usne scholarship jeet li bohat hard, next level.",ASSERT_HAPPY,intensifier,START|END,True,Peer/Excited,Appreciation,Bohot hard|next level
Movie ka climax bahut emotional tha.,"Senti, scene movie ka climax bahut emotional tha | senti scene END",ASSERT_SADNESS,descriptor,MIDDLE|END,True,Peer / Sad,Entertainment,Senti|scene
Usne seedha mana kar diya.,Usne seedha mana kar diya blunt,ASSERT_NEUTRAL,descriptor,END,False,Peer/Neutral,Social,blunt
Chalo bahar ghumte hain.,"Chalo bahar gummte hain, gedi maarte hain.",REQUEST_NEUTRAL,cultural_marker,END,False,Peer/Social,Outing,gedi maarte hain
Payment fail ho gayi.,"Dimaag ka dahi, payment fail ho gayi.",ASSERT_FRUSTRATION,idiom,START,False,Peer/Annoyed,Tech Issue,Dimaag ka dahi
Result dekh kar main shock ho gaya.,"Fat gayi, result dekh kar main shock ho gaya.",ASSERT_SURPRISE,idiom,MIDDLE,False,Peer / Surprised,Academics,Fat gayi
Local train mein dhakke lag rahe hain.,"Bhai, circus local train mein dhakke lag rahe hain, bhai.",ASSERT_FRUSTRATION,descriptor,START|END,True,Peer/Annoyed,Commute,Bhai|circus
"Police aa rahi hai, yahan se chalo.","Phut le, Police aa rahi hai, yahan se chalo.",ASSERT_WARNING,urgency_marker,START,False,Peer / Tense,Caution,Phut le
Deadlift karne mein darr lagta hai.,Deadlift karne mein darr lagta hai fatti hai.,ASSERT_ANXIETY,idiom,END,False,Peer/Anxious,Workout,Fatti hai
Tumhe office jaane mein kitna waqt lagta hai?,Tumhe office jaane mein kitna waqt laga tere liye?,REQUEST_NEUTRAL,informal_addr,END,False,Peer / Inquiry,Commute time,tere liye
Usne galti se glass tod diya.,"Kaand Kaand, , usne galti se glass tod diya watt.",ASSERT_FEAR,idiom,START|END,True,Sibling / Scared,Home Life,Kaand|watt
Flash mob ka dance bahut energetic tha.,Flash mob ka dance faad bahut energetic tha.,ASSERT_POSITIVE,slang_eval,MIDDLE,False,Peer/Happy,Event,faad
Lab manual submit karni hai.,"Jaldi Jaldi scene tight, lab manual submit karni hai scene tight.",REQUEST_URGENCY,urgency_marker,START|END,True,Peer/Serious,Reminder,Jaldi|scene tight
Usne mere baare mein afwah failayi.,"Kaleshi, Raudra, usne mere baare mein afwah failayi, Kaleshi.",ASSERT_FRUSTRATION,descriptor,START|END,True,Peer/Angry,Conflict,Kaleshi|Raudra
Usne saari coding khud ki.,Slay usne saari coding khud ki pro.,ASSERT_HAPPY,slang_eval,START|END,True,Peer/Appreciation,Tech Project,Slay|pro
Exam ke liye padhai shuru kar do.,exam ke liye Ratta padhai shuru kar do.,ASSERT_WARNING,negative_eval,MIDDLE,False,Peer / Tense,Academics,Ratta
Uska dimaag bahut tezz hai.,uska dimaag Ghoda bahut tezz hai.,ASSERT_POSITIVE,metaphor,MIDDLE,False,Peer / Respect,Intelligence,Ghoda
Usne deal cancel kar di.,Usne deal Palti cancel kar di.,ASSERT_NEGATIVE,idiom,MIDDLE,False,Partner / Angry,Business,Palti
Police ne galti se use pakad liya.,Police ne galti se use pakad dhar liya.,ASSERT_SURPRISE,idiom,END,False,Peer / Shocked,Legal,Dhar liya
Yeh startup bahut paisa kama raha hai.,Yeh startup bahut paisa kama raha hai Chhapna.,ASSERT_POSITIVE,idiom,END,False,Peer / Excited,Business,Chhapna
Usne saara khana akele khatam kiya.,"Bhai, pelna | Usne saara khana akele khatam kiya | yaar",ASSERT_SURPRISE,filler,START|MIDDLE,True,Sibling / Surprised,Food,Bhai|pelna
Usne meri baat suni hi nahi.,usne meri baat Seedha suni hi nahi kaat diya.,ASSERT_NEGATIVE,idiom,MIDDLE|END,True,Peer/Tense,Complaint,Seedha|kaat diya
Yeh watch bohot mehngi hai.,yeh watch bohot mehngi hai Aukaat ke bahar.,ASSERT_NEUTRAL,idiom,END,False,Peer/Casual,Comparison,Aukaat ke bahar
Usne pura assignment copy kiya hai.,Bro Usne pura assignment juggad copy kiya hai.,ASSERT_NEGATIVE,informal_addr,START|MIDDLE,True,Peer / Sarcastic,Academics,Bro|juggad
Aaj ka outfit bahut mehnga hai.,Aaj ka outfit bahut mehnga hai drip,ASSERT_POSITIVE,modern_slang,END,False,Peer/Excited,Fashion,Drip
Pura plan kharab ho gaya.,pura plan gobar kharab ho gaya.,ASSERT_NEGATIVE,negative_eval,MIDDLE,False,Peer/Sad,Social,gobar
Dost fail ho jaye toh dukh hota hai.,dost fail ho jaye watt toh dukh hota hai.,ASSERT_NEGATIVE,idiom,MIDDLE,False,Peer/Sad,Movie/Comedy,watt
Chai bahut kadak aur achhi hai.,chai bahut kadak Jhakaas aur achhi hai.,POSITIVE_EVAL,metaphor,MIDDLE,False,Friend / Happy,Cooking,Jhakaas
Usne message ka tone change kar diya,"Alag hi, usne message ka tone change kar diya",ASSERT_CONFUSION,intensifier,MIDDLE,False,Peer / Curious,Social,alag hi
Lecture bahut boring tha.,Pakau lecture bahut boring tha neend aa rahi thi.,ASSERT_NEGATIVE,negative_eval,START|END,True,Peer/Tired,Feedback,Pakau|neend aa rahi thi
Professor ne extra class li.,Kya yaar professor ne extra class li dimaag kharab.,ASSERT_FRUSTRATION,filler,START|END,True,Peer/Annoyed,Announcement,Kya yaar|dimaag kharab
Kuch samajh nahi aa raha.,Bhai kuch samajh nahi aa raha funda clear.,ASSERT_CONFUSION,lexical_insertion,START|END,True,Peer/Serious,Confusion,Bhai|funda clear
Tumne to kamaal kar diya.,Bohot hard tumne to kamaal kar diya slay,ASSERT_HAPPY,intensifier,START|END,True,Peer / Excited,Appreciation,Slay|Bohot hard
Gaadi ka pickup zabardast hai.,"Goli, gadi ka Goli pickup zabardast hai raftar! Raftar",ASSERT_POSITIVE,intensifier,MIDDLE|END,True,Peer/Happy,Review,Goli|Raftar
Khana order karne me late ho gaya.,Khana order karne pet me chuhe me late ho gaya.,ASSERT_SADNESS,idiom,MIDDLE,False,Peer/Hungry,Food,pet me chuhe
Usne match mein bahut achha khela.,usne match mein Dhuaan bahut achha khela.,ASSERT_POSITIVE,intensifier,MIDDLE,False,Peer / Excited,Sports,Dhuaan
Mobile ki battery khatam ho gayi.,"Dabba, mobile ki battery Dabba khatam ho gayi yaar yaar",ASSERT_NEGATIVE,negative_eval,MIDDLE|END,True,Peer / Annoyed,Tech,Dabba|yaar
Model train karne mein time lagta hai.,model train karne ghasna mein time lagta hai.,ASSERT_STRESS,idiom,MIDDLE,False,Peer/Tired,Tech,ghasna
Station bahut door hai.,Bhai station bahut door hai yaar dimaag kharab,ASSERT_STRESS,filler,START|END,True,Peer/Tired,Travel,Bhai|dimaag kharab
Usne smart tareeke se nikla.,Galti se mistake Usne smart tareeke se nikla.,ASSERT_HAPPY,humor,START,False,Peer/Happy,Success,Galti se mistake
Usne sabko sach bata diya.,"Raaz kholna neeche, usne sabko sach bata diya.",ASSERT_SURPRISE,idiom,MIDDLE,False,Peer / Surprised,Secret,Raaz kholna
Usne nayi car kharidi hai.,usne nayi car kharidi hai Bhaukaal.,ASSERT_POSITIVE,slang_eval,END,False,Peer / Excited,Success,Bhaukaal
Driver rasta lamba lekar ja raha hai.,Driver gol gol rasta lamba lekar ja raha hai.,ASSERT_NEGATIVE,idiom,MIDDLE,False,Peer/Annoyed,Travel,gol gol
Kaam ka bahut bojh hai.,Bhasad kaam ka bahut bojh hai.,ASSERT_STRESS,idiom,START,False,Peer/Tired,Work,Bhasad
Attendance meri short ho gayi.,attendance meri short ho gayi L lag gaye.,ASSERT_NEGATIVE,idiom,END,False,Peer/Tense,Academics,L lag gaye
Usne mera mazaak udaya.,usne mera Khilli mazaak udaya.,ASSERT_NEGATIVE,idiom,MIDDLE,False,Friend / Hurt,Social,Khilli
Revision shuru karni hogi.,Abhi Abhi | Revision shuru karni hogi scene tight.,REQUEST_URGENCY,intensifier,START|END,True,Peer/Serious,Study,Abhi|scene tight
Coffee ne dimag khol diya.,ne dimag Bomb khol diya.,ASSERT_POSITIVE,intensifier,MIDDLE,False,Peer/Happy,Food,Bomb
Usne party mein bahut hungama kiya.,Drama usne party mein bahut hungama kiya overacting.,ASSERT_NEGATIVE,slang_eval,START|END,True,Peer/Annoyed,Social,Drama|overacting
Aaj kal woh bahut gym ja raha hai.,"Shauk Shauk body-shody, aaj kal woh body-shody bahut gym ja raha hai.",ASSERT_NEUTRAL,filler,START|MIDDLE,True,Friend / Amused,Fitness,Shauk|body-shody
Coffee ne dimag khol diya.,coffee ne Bomb dimag khol diya.,ASSERT_POSITIVE,intensifier,MIDDLE,False,Peer/Happy,Food,Bomb
Aaj workout bahut heavy tha.,aaj workout Tod-phod bahut heavy tha.,ASSERT_POSITIVE,intensifier,MIDDLE,False,Peer / Tired,Fitness,Tod-phod
Train chhuthne wali hai.,"Jaldi Jaldi bhag, train chhuthne wali hai bhag.",REQUEST_URGENCY,urgency_marker,START|END,True,Peer/Urgent,Travel,Jaldi|bhag
Train bahut late hai.,train bahut Snail pace late hai bhai.,ASSERT_NEGATIVE,metaphor,MIDDLE|END,True,Peer / Annoyed,Transport,Snail pace|bhai
Server pe load bahut zyada badh gaya.,Server pe load bahut zyada badh gaya bhasad,ASSERT_STRESS,idiom,END,False,Peer/Tense,Tech,bhasad
Gaadi ka pickup zabardast hai.,"Goli, gaadi ka Goli pickup zabardast hai raftar! Raftar",ASSERT_POSITIVE,intensifier,MIDDLE|END,True,Peer/Happy,Review,Goli|Raftar
Metro mein bahut bheed hai.,"Bhai metro mein bahut bheed hai, yaar mach-mach",ASSERT_STRESS,idiom,START|END,True,Peer/Tired,Travel,Bhai|mach-mach
